بخش,عنوان,وضعیت,درصد پیشرفت,تعداد کلمات,لینک فایل,یادداشت
مرور ادبیات,مفاهیم اصلی,در حال انجام,0,0,,تعاریف، ابعاد و مرزبندی مفاهیم
مرور ادبیات,چارچوب نظری,شروع نشده,0,0,,نظریه و ارتباط آن با مسئله رساله
مرور ادبیات,مطالعات تجربی,شروع نشده,0,0,,دسته‌بندی و مقایسه پژوهش‌های پیشین
مرور ادبیات,خلأ پژوهشی,شروع نشده,0,0,,جمع‌بندی و تبیین خلأ پژوهش
روش‌شناسی,طرح و رویکرد پژوهش,شروع نشده,0,0,,منطق طراحی و رویکرد پژوهش
روش‌شناسی,مشارکت‌کنندگان و نمونه‌گیری,شروع نشده,0,0,,معیارها، دسترسی و تنوع نمونه
روش‌شناسی,مصاحبه و پیاده‌سازی,شروع نشده,0,0,,راهنمای مصاحبه و فرایند پیاده‌سازی
روش‌شناسی,تحلیل داده‌ها,شروع نشده,0,0,,تحلیل توصیفی، تجربی، استنباطی و علّی
روش‌شناسی,اخلاق و کیفیت پژوهش,شروع نشده,0,0,,ملاحظات اخلاقی و کنترل کیفیت
میدان پژوهش,دسترسی و جذب مشارکت‌کنندگان,شروع نشده,0,0,,تماس و هماهنگی مصاحبه‌ها
میدان پژوهش,مصاحبه‌ها,شروع نشده,0,0,,انجام مصاحبه و ثبت وضعیت
میدان پژوهش,پیاده‌سازی و کدگذاری توصیفی,شروع نشده,0,0,,پردازش هم‌زمان داده‌ها
تحلیل و یافته‌ها,تحلیل توصیفی و تجربی,شروع نشده,0,0,,دسته‌ها، الگوها و مقایسه موارد
تحلیل و یافته‌ها,تحلیل استنباطی,شروع نشده,0,0,,تبیین روابط و معانی یافته‌ها
تحلیل و یافته‌ها,تحلیل علّی,شروع نشده,0,0,,عوامل زمینه‌ای، ساختاری و سازوکارهای علّی
